Category,Part,Specification,Quantity,Unit_EUR,Line_EUR,Price_status,Source_URL,Notes,Checked_date
Computer,Raspberry Pi 5,4 GB RAM,1,129.90,129.90,Observed retailer price,https://www.elecom.sk/raspberry-pi-5-4-gb-2/,Recheck stock and checkout; no weaker RAM variant,2026-09-13
Display,Elecom HDMI LCD code 17259,5 inch; 800 x 480; XPT2046 board; HDMI video,1,29.99,29.99,Live browser price; 9 in stock,https://www.elecom.sk/5-0-palcovy-dotykovy-lcd-displej-hdmi-800x480-pre-raspberry-pi-3b--xpt2046-rezistivny/,Use HDMI video and keyboard touchpad; Pi 5 touchscreen driver NOT validated; verify micro-USB power port before order,2026-09-13
Input,PROLECH / BLOW mini KS-6; code 84-256-,Small wireless keyboard with touchpad,1,7.39,7.39,Live browser sale price; in stock,https://www.pabex.sk/bezdrotova-klavesnica-s-touchpadom-84-256-/,Confirm exact KS-6 variant; USB receiver; battery and charging lead included; housing and rim must be measured,2026-09-13
Storage,Goodram M1AA 64 GB,64 GB microSDXC; Class 10 UHS-I; SD adapter,1,16.39,16.39,Live browser price; delivery up to 7 days,https://www.pabex.sk/pamatova-karta-64gb-tgd-m1aa0640r12/,No A1 claim; seller calls it SDHC but 64 GB is SDXC; adapter is not a USB reader,2026-09-13
Power,Official Raspberry Pi 27 W USB-C supply,EU plug; 5.1 V / 5 A; captive cable,1,12.95,12.95,Observed retailer price,https://www.elecom.sk/raspberry-pi-27w-usb-c-napajaci-zdroj--eu--biely-2/,No separate laptop power cable,2026-09-13
Cooling,Official Raspberry Pi 5 Active Cooler,Dedicated Pi 5 fan connector,1,6.50,6.50,Live browser price; in stock,https://www.elecom.sk/raspberry-pi-5-active-cooler-2/,Keep supplied push pins and thermal pads,2026-09-13
Case,3DPower Basic PETG Light Green,1.75 mm; one 1 kg spool,1,13.90,13.90,Search listing reference; live verification pending,https://www.filamenthouse.sk/p/3dpower-basic-petg-svetlozelena-light-green-1kg,Not charcoal; recheck stock and price; slice total including supports and coupons below 1 kg,2026-09-13
Fasteners,Enclosure v0.3 fastener set,26 screws; 18 nuts; 32 washers; 4 spacers,1,10.00,10.00,Unverified purchasing allowance,,Exact installed sizes in CAD/v0.3/ASSEMBLY.md; package quantities and delivered cost still need quotation,2026-09-13
Hinges,Integral printed hinges,2 printed hinge sets; M4 x 45 metal axes,2,0.00,0.00,Included elsewhere,,Filament in Case row; metal axes and washers in Fasteners row,2026-09-13
Cables,Display cables,Micro-HDMI to HDMI cable; USB-A to micro-USB power cable,1,6.00,6.00,Unverified purchasing allowance,,Confirm board power port; no DSI ribbon; do not use rigid Pi 3 HDMI adapter with Pi 5; route a loose hinge loop,2026-09-13
Assembly,Pads and feet,Insulating retention pads; four feet at least 4 mm high; strain relief,1,1.00,1.00,Unverified purchasing allowance,,Full purchase cost must fit; not assuming material is already owned,2026-09-13
Setup,USB microSDXC reader,USB-A; supports 64 GB cards,1,3.00,3.00,Unverified purchasing allowance,,Needed to install Raspberry Pi OS unless a compatible reader can be borrowed,2026-09-13
Delivery,Delivery,Combined shipping and checkout differences to Slovakia,1,12.00,12.00,Unverified combined allowance,,Not a checkout quote; includes all suppliers and fastener/cable orders; no purchase if exceeded without savings elsewhere,2026-09-13
Reserve,Reserve,Price or payment-fee reserve,1,0.98,0.98,Planning reserve,,Very small margin; no guarantee of final delivered cost,2026-09-13
